"TYPE","PARENT","STATE","COMPLETED","FOCUS","NAME","TAGS","TIME","ENERGY","WAITINGFOR","STARTDATE","DUEDATE","NOTES",
"Task","Standalone","Inbox","","","Fwd: Aaron brokovich","","","","","","","---------- Forwarded message ----------From: <accrist@gmail.com>Date: Mon, May 8, 2017 at 10:15 AMSubject: Aaron brokovichTo: accrist@gmail.com",
"Task","Standalone","Inbox","","","Get battery anti corrosion stuff and […]","","","","","","","Get battery anti corrosion stuff and install",
"Task","Standalone","Inbox","","","Patriots day?","","","","","","","",
"Task","Standalone","Inbox","","","Keen on","","","","","","","",
"Task","Standalone","Inbox","","","Gnutls","","","","","","","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-06-12","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-30","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-13","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-06-07","",
"Task","Standalone","Next","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-05-14","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-14","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-06-02","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-18","",
"Task","Standalone","Next","","","Learn to avoid losing things","business,human","60","Medium","","","","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-10","",
"Task","Standalone","Next","","Yes","give random flowers to K","family","45","Medium","","","","",
"Task","Standalone","Next","","","put coolant in car","home in Orem only,human","30","Medium","","","","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-22","",
"Task","Standalone","Next","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-06-04","",
"Task","Standalone","Next","","Yes","download hashtag pictures & video -> compile media repository","Kelsey,family","45","Low","","","2017-02-27","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-06-04","",
"Task","Standalone","Next","","","Do gun return","human","10","Low","","","","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-15","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-12","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-09","",
"Task","Standalone","Next","","","pick BYU concerts","Grandma,family","30","Medium","","","","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-23","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-27","",
"Task","Standalone","Next","","Yes","evaluate R lateral pectoralis injury recovery status","self care","30","Medium","","","","need PT?",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-26","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-06-06","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-25","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-24","",
"Task","Standalone","Next","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-05-28","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-28","",
"Task","Standalone","Next","","","look for headphones","home in Orem only,human","30","High","","","","",
"Task","Standalone","Next","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-06-11","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-06-11","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-06-09","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-06-03","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-20","",
"Task","Standalone","Next","","Yes","Process records from IHC for $","business,human","60","High","","","","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-06-10","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-19","",
"Task","Standalone","Next","","Yes","Master Plan - Check 'Later'","self care","45","Medium","","","2017-05-21","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-21","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-31","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-17","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-05-16","",
"Task","Standalone","Next","","Yes","Daily Planning","self care","10","Medium","","","2017-06-01","",
"Task","Standalone","Next","","","get tire stem caps","home in Orem only,human","45","Medium","","","","",
"Task","Standalone","Next","","","decide: Practice voice 30 min/ day?","self care","15","High","","","","",
